image_filename,file_page_url,image_url,source_category,license,used
1919-lon-chaney-miracle-man-still.jpg,https://commons.wikimedia.org/wiki/File:1919-lon-chaney-miracle-man-still.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b3/1919-lon-chaney-miracle-man-still.jpg,Category:Paramount Pictures publicity photos,Public domain,LOWRES
1925 - Raoul Paoli-Cinéma - Mme Sans Gêne.jpg,https://commons.wikimedia.org/wiki/File:1925_-_Raoul_Paoli-Cin%C3%A9ma_-_Mme_Sans_G%C3%AAne.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9c/1925_-_Raoul_Paoli-Cin%C3%A9ma_-_Mme_Sans_G%C3%AAne.jpg,Category:Paramount Pictures publicity photos,Public domain,
1930s portrait of Clara Bow (front) (cropped).jpg,https://commons.wikimedia.org/wiki/File:1930s_portrait_of_Clara_Bow_(front)_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/4/4b/1930s_portrait_of_Clara_Bow_%28front%29_%28cropped%29.jpg,Category:Paramount Pictures publicity photos,Public domain,
1930s portrait of Clara Bow (front) (tighter crop).jpg,https://commons.wikimedia.org/wiki/File:1930s_portrait_of_Clara_Bow_(front)_(tighter_crop).jpg,https://upload.wikimedia.org/wikipedia/commons/5/52/1930s_portrait_of_Clara_Bow_%28front%29_%28tighter_crop%29.jpg,Category:Paramount Pictures publicity photos,Public domain,LOWRES
1930s portrait of Clara Bow (front).jpg,https://commons.wikimedia.org/wiki/File:1930s_portrait_of_Clara_Bow_(front).jpg,https://upload.wikimedia.org/wikipedia/commons/f/f9/1930s_portrait_of_Clara_Bow_%28front%29.jpg,Category:Paramount Pictures publicity photos,Public domain,
A Night of Mystery (SAYRE 14265) (cropped).jpg,https://commons.wikimedia.org/wiki/File:A_Night_of_Mystery_(SAYRE_14265)_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/a/a8/A_Night_of_Mystery_%28SAYRE_14265%29_%28cropped%29.jpg,Category:Paramount Pictures publicity photos,Public domain,LOWRES
A Night of Mystery (SAYRE 14265).jpg,https://commons.wikimedia.org/wiki/File:A_Night_of_Mystery_(SAYRE_14265).jpg,https://upload.wikimedia.org/wikipedia/commons/6/6c/A_Night_of_Mystery_%28SAYRE_14265%29.jpg,Category:Paramount Pictures publicity photos,Public domain,2026-09-10
Abner Biberman 1943.jpg,https://commons.wikimedia.org/wiki/File:Abner_Biberman_1943.jpg,https://upload.wikimedia.org/wikipedia/commons/9/93/Abner_Biberman_1943.jpg,Category:Paramount Pictures publicity photos,Public domain,2026-09-15
Affairs of Anatol cast.jpg,https://commons.wikimedia.org/wiki/File:Affairs_of_Anatol_cast.jpg,https://upload.wikimedia.org/wikipedia/commons/8/85/Affairs_of_Anatol_cast.jpg,Category:Paramount Pictures publicity photos,Public domain,
Affairs of Anatol stills.jpg,https://commons.wikimedia.org/wiki/File:Affairs_of_Anatol_stills.jpg,https://upload.wikimedia.org/wikipedia/commons/1/12/Affairs_of_Anatol_stills.jpg,Category:Paramount Pictures publicity photos,Public domain,
Actor Monte Blue (SAYRE 8023).jpg,https://commons.wikimedia.org/wiki/File:Actor_Monte_Blue_(SAYRE_8023).jpg,https://upload.wikimedia.org/wikipedia/commons/1/11/Actor_Monte_Blue_%28SAYRE_8023%29.jpg,Category:Paramount Pictures publicity photos,Public domain,
Bebe Daniels and Gloria Swanson in The Affairs of Anatol.jpg,https://commons.wikimedia.org/wiki/File:Bebe_Daniels_and_Gloria_Swanson_in_The_Affairs_of_Anatol.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b7/Bebe_Daniels_and_Gloria_Swanson_in_The_Affairs_of_Anatol.jpg,Category:Paramount Pictures publicity photos,Public domain,2026-09-07
Gloria Swanson in The Affairs of Anatol.jpg,https://commons.wikimedia.org/wiki/File:Gloria_Swanson_in_The_Affairs_of_Anatol.jpg,https://upload.wikimedia.org/wikipedia/commons/3/37/Gloria_Swanson_in_The_Affairs_of_Anatol.jpg,Category:Paramount Pictures publicity photos,Public domain,2026-09-07
Silent film actor Raymond Hatton (SAYRE 3426).jpg,https://commons.wikimedia.org/wiki/File:Silent_film_actor_Raymond_Hatton_(SAYRE_3426).jpg,https://upload.wikimedia.org/wikipedia/commons/9/9e/Silent_film_actor_Raymond_Hatton_%28SAYRE_3426%29.jpg,Category:Paramount Pictures publicity photos,Public domain,
The Affairs of Anatol (1921) - 3.jpg,https://commons.wikimedia.org/wiki/File:The_Affairs_of_Anatol_(1921)_-_3.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5d/The_Affairs_of_Anatol_%281921%29_-_3.jpg,Category:Paramount Pictures publicity photos,Public domain,LOWRES
The Affairs of Anatol (1921) - 4.jpg,https://commons.wikimedia.org/wiki/File:The_Affairs_of_Anatol_(1921)_-_4.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cc/The_Affairs_of_Anatol_%281921%29_-_4.jpg,Category:Paramount Pictures publicity photos,Public domain,LOWRES
The Affairs of Anatol (1921) - 5.jpg,https://commons.wikimedia.org/wiki/File:The_Affairs_of_Anatol_(1921)_-_5.jpg,https://upload.wikimedia.org/wikipedia/commons/1/19/The_Affairs_of_Anatol_%281921%29_-_5.jpg,Category:Paramount Pictures publicity photos,Public domain,LOWRES
